question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
클래스 B 네트워크에서 첫 번째 옥텟의 범위는 무엇인가요?,What is the range of the first octet on a Class B network?,128 - 191,128 - 191,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 B 네트워크에서 지원되는 네트워크 ID는 몇 개인가요?,How many network IDs are supported on a Class B network?,"2^14 = 16,384
처음 2비트는 10, 비트 3-16은 네트워크 ID입니다","2^14 = 16,384
First 2 bits are 10, bits 3-16 are network IDs",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 B 네트워크에서 지원되는 호스트 ID는 몇 개인가요?,How many host IDs are supported on a Class B network?,"2^16 = 65,536
따라서 네트워크당 65,536개가 있습니다","2^16 = 65,536
So there are 65,536 per network",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 C 네트워크에서 첫 번째 옥텟의 범위는 무엇인가요?,What is the range of the first octet on a Class C network?,192-223,192-223,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 C 네트워크에서 지원되는 네트워크 ID는 몇 개인가요?,How many network IDs are supported on a Class C network?,"2^21 = 200만
처음 3비트는 110, 비트 4-24는 네트워크 ID입니다","2^21 = 2 million
First 3 bits are 110, bits 4-24 are network IDs",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 C 네트워크에서 지원되는 호스트 ID는 몇 개인가요?,How many host IDs are supported on a Class C network?,"2^8 = 256
네트워크당 256개의 호스트가 있습니다","2^8 = 256
There are 256 hosts per network",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
클래스 D 네트워크는 무엇을 위해 예약되어 있나요?,What is a class D network reserved for?,멀티캐스팅,Multicasting,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
유니캐스트란 무엇인가요?,What is unicasting?,한 호스트에서 다른 호스트로 패킷을 전송합니다.,Sending a packet from one host to another.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
네트워크 ID는 무엇으로 끝나나요?,What does a network ID end in?,0,0,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
방송 ID는 무엇으로 끝나나요?,What does a broadcast ID end in?,255,255,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
방송 주소 255.255.255는 누구에게 보내나요?,Who does a broadcast address of 255.255.255.255 send to?,네트워크 내의 모든 호스트.,All hosts within the network.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
연출 방송이란 무엇인가요?,What is a directed broadcast?,다른 네트워크 내의 모든 호스트에게 방송하는 것입니다.,It's a broadcast to all hosts within another network.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
제한된 방송 주소란 무엇인가요?,What is a limited broadcast address?,제한 방송 주소는 IP 주소의 32비트를 모두 1(255.255.255.255)로 설정하여 형성된 주소입니다. 제한 방송 주소는 IP 노드가 로컬 네트워크에서 일대일 전송을 수행해야 하지만 네트워크 ID를 알 수 없는 경우에 사용됩니다.,The limited broadcast address is the address formed by setting all 32 bits of the IP address to 1 (255.255.255.255). The limited broadcast address is used when an IP node must perform a one-to-everyone delivery on the local network but the network ID is unknown.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
네트워크를 가능한 한 작게 만들어야 하는 이유는 무엇인가요?,Why should you make networks as small as possible?,"다음을 위해:
- 보안
- 유지 보수
- 관리","For:
- security
- maintenance
- management",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
네트워크를 어떻게 나누나요?,How you divide a network?,서브넷으로.,By subnetting.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
/27 CIDR은 무엇을 의미하나요?,What does a /27 CIDR mean?,처음 27비트는 1로 마스킹됩니다. 나머지 5비트는 서브넷에서 도달할 수 있습니다.,The first 27 bits are masked with 1s. The remaining 5 bits are reachable in the subnet.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
/24 CIDR은 무엇을 의미하나요?,What does a /24 CIDR mean?,IP 주소의 처음 24비트는 마스킹됩니다. 마스킹되지 않은 부분에 주소가 있는 호스트만 도달할 수 있습니다.,The first 24 bits of the IP address are masked. Only hosts with addresses in the unmasked portion are reachable.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
블록 암호란 무엇인가요?,What is a block cipher?,"블록 암호는 암호화된 텍스트를 암호화하는 방법으로, 암호화된 키와 알고리즘을 한 번에 하나의 비트가 아닌 그룹으로 데이터 블록(예: 64개의 연속 비트)에 적용하여 암호화하는 것입니다.","A block cipher is a method of encrypting text (to produce ciphertext) in which a cryptographic key and algorithm are applied to a block of data (for example, 64 contiguous bits) at once as a group rather than to one bit at a time.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
QUIC이란 무엇인가요?,What is QUIC?,QUIC는 TCP에 비해 지연 시간을 줄여주는 새로운 전송 방식입니다. 표면적으로 QUIC는 UDP에 구현된 TCP+TLS+HTTP/2와 매우 유사합니다.,"QUIC is a new transport which reduces latency compared to that of TCP. On the surface, QUIC is very similar to TCP+TLS+HTTP/2 implemented on UDP.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
캡시쿰이란 무엇인가요?,What is Capsicum?,유닉스 계열 커널에 기능 기반 보안을 추가하고 글로벌 네임스페이스에 대한 액세스를 거부하는 샌드박스 프레임워크입니다.,A sandboxing framework that adds capability-based security to unix-like kernels and denies access to global namespaces.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
유닉스 용어로 글로벌 네임스페이스란 무엇인가요?,What is a global namespace in unixy terms?,"어디서든 접근할 수 있는 시스템의 측면:
- 파일 경로
- 네트워크
- PID","aspects of a system that can be accessed from anywhere:
- file paths
- networks
- PIDs",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Google 네이티브 클라이언트란 무엇인가요?,What is Google Native Client?,NaCl이라고도 하는 네이티브 클라이언트는 사용자의 운영 체제와 독립적으로 브라우저에서 컴파일된 C 및 C++ 코드를 효율적이고 안전하게 실행하기 위한 샌드박스입니다.,"Also called NaCl, Native Client is a sandbox for running compiled C and C++ code in the browser efficiently and securely, independent of the user’s operating system.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
웹 socket이란 무엇인가요?,What are web sockets?,클라이언트와 서버 간의 전이중 통신.,Full-duplex communication between client and server.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
동일 기원 정책이란 무엇인가요?,What is the same-origin policy?,"목표: 두 웹사이트는 서로 조작할 수 없어야 합니다.
전략: 각 리소스에는 출처가 할당됩니다. JS는 자체 출처에서만 리소스에 액세스할 수 있습니다.
출처: 스키마 + 호스트 이름 + 포트","Goal: Two websites should not be able to tamper with each other.
Strategy: each resource is assigned an origin. JS can only access resources from its own origin.
Origin: scheme + hostname + port",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2개의 원점(예: 2프레임)은 어떻게 통신할 수 있나요?,How can 2 origins (let's say 2 frames) communicate?,window.postMessage (HTML5)는 도메인 간에 두 개의 창/프레임 간에 데이터 메시지를 전송할 수 있게 해줍니다.,window.postMessage (HTML5) allows for sending data messages between two windows/frames across domains.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
JIT 컴파일이란 무엇인가요?,What is JIT compilation?,"JIT 컴파일은 동적 번역이라고도 하며, 사전에 실행되는 것이 아니라 런타임에 수행되는 컴파일입니다(AOT).","JIT compilation, also known as dynamic translation, is compilation done at run-time rather than ahead of time (AOT).",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
PyPy란 무엇인가요?,What is PyPy?,"PyPy는 CPython을 대체하는 언어입니다. Python과 함께 개발된 RPython 언어를 사용하여 구축되었습니다. RPython은 Python의 하위 집합이며 C로 번역할 수 있습니다. CPython 대신 사용하는 주된 이유는 속도입니다: JIT 컴파일로 인해 일반적으로 더 빠르게 실행되기 때문입니다.
PyPy는 Python 2.7.10을 구현합니다. PyPy는 모든 핵심 언어를 지원하며, Python 테스트 스위트를 통과합니다 (새로운 버전의 메인 Python에서 이미 받아들여진 약간의 수정 사항도 포함되어 있습니다). 이는 일반적으로 사용되는 대부분의 Python 표준 라이브러리 모듈을 지원합니다.","PyPy is a replacement for CPython. It is built using the RPython language that was co-developed with it. RPython is a subset of Python and can be translated to C. The main reason to use it instead of CPython is speed: it runs generally faster due to JIT compilation.
PyPy implements Python 2.7.10. It supports all of the core language, passing the Python test suite (with minor modifications that were already accepted in the main python in newer versions). It supports most of the commonly used Python standard library modules.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
SMT는 무엇을 의미하나요?,What does SMT stand for?,만족도 모듈로 이론.,Satisfiability modulo theories.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
SMT 솔버란 무엇인가요?,What is an SMT solver?,만족 모듈로 이론 솔버는 대규모 상호 연결 논리 공식을 해결하여 주어진 공식을 만족시킬 수 있는지 여부를 결정합니다. 이는 심볼릭 실행을 사용하여 프로그램의 결과나 입력을 결정하는 데 도움이 됩니다.,A satisfiability modulo theories solver solves for large interconnected logic formulas to determine if a given formula can be satisfied. These are helpful for determining the outcome or inputs for a program using symbolic execution.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
프로그램이 예측된 결과를 초래할 수 있는 조건이 존재한다는 것을 어떻게 알 수 있을까요?,How do we find that a condition exists that will cause a program to have a predicted outcome?,SAT 솔버(논리 테스트 사용)와 SMT 솔버(숫자를 연결하는)를 사용하여 SAT 솔버가 어디서 잘못되었는지 알려줍니다. SAT 솔버는 조건을 찾을 때까지 주기적으로 서로 피드백을 제공합니다.,"Using an SAT solver (using logic tests) and an SMT solver (that plugs in numbers), and tells the SAT solver where it got it wrong. They provide feedback in a cycle to each other until a condition can be found.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
트랜잭션 메모리란 무엇인가요?,What is  transactional memory?,트랜잭션 메모리는 로드 및 저장 명령어 그룹이 원자적 방식으로 실행될 수 있도록 하여 동시 프로그래밍을 단순화하려고 시도합니다. 이는 동시 컴퓨팅에서 공유 메모리에 대한 액세스를 제어하기 위한 데이터베이스 트랜잭션과 유사한 동시성 제어 메커니즘입니다.,Transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way. It is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
소프트웨어 트랜잭션 메모리란 무엇인가요?,What is software transactional memory?,"소프트웨어 트랜잭셔널 메모리는 소프트웨어 런타임 라이브러리나 프로그래밍 언어에서 트랜잭셔널 메모리 의미를 제공하며, 최소한의 하드웨어 지원(일반적으로 원자 비교 및 스왑 작업 또는 이에 상응하는 작업)이 필요합니다. 단점으로, 소프트웨어 구현은 하드웨어 솔루션과 비교할 때 성능 저하가 발생하는 경우가 많습니다.","Software transactional memory provides transactional memory semantics in a software runtime library or the programming language, and requires minimal hardware support (typically an atomic compare and swap operation, or equivalent). As the downside, software implementations usually come with a performance penalty, when compared to hardware solutions.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
PyPY에 GIL이 있나요?,Does PyPY have a GIL?,예. GIL은 제거하기가 매우 어렵습니다. 대신 소프트웨어 트랜잭션 메모리를 사용하는 pypy-stm을 사용할 수 있지만 성능 저하가 발생합니다.,"Yes. The GIL is very difficult to remove. You can use pypy-stm instead, which uses software transactional memory, but will suffer a performance penalty.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
서버가 SYN 홍수 공격에 어떻게 대처할 수 있나요?,How can a server deal with a SYN flood attack?,"한 번에 많은 수의 SYN 패킷을 감지하거나 SN(시퀀스 번호) 데이터 구조의 크기가 특정 항목 임계값에 도달하면 상태 비저장 버전으로 전환하여 타임스탬프가 있는 서명된 값으로 SN 응답을 전송하고, 하나를 받으면 조회 테이블 없이 SN 응답을 통과시킬 수 있습니다.","When it detects a large number of SYN packets at once, or the size of its SN (sequence number) data structure reaches a certain threshold of entries, it can switch to a stateless version, where it send SN responses as signed values with a timestamp, and if it receives one back it lets them through without needing a lookup table.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
스택 카나리아란 무엇인가요?,What is a stack canary?,저장된 EBP 후 무작위 값을 스택에 밀어넣고 스택 프레임을 분해하기 전에 값을 확인하는 버퍼 오버플로 방어입니다. 반환 명령 포인터를 대상으로 하는 버퍼 흐름은 이 값을 덮어쓰야 합니다.,"It's a buffer overflow defense where a random value is pushed onto the stack after the saved EBP, and before tearing down the stack frame, the value is checked. Any buffer flow targeting the return instruction pointer would have to have overwritten this value.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
gcc와 Visual Studio는 어떤 유형의 버퍼 오버플로 방지 기능을 사용하나요?,What type of buffer overflow protection does gcc and Visual Studio employ?,버퍼에 할당된 메모리 전후의 바이트 스택 검사 가드를 사용합니다. 값이 버퍼에 기록되면 바이트가 여전히 동일한지 확인합니다.,"They use a stack check guard of bytes before and after the buffer's allocated memory. Once values are written to the buffer, the bytes are checked to ensure they are still the same.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
확장성이란 무엇인가요?,What is scalability?,확장성은 시스템이 성능에 부정적인 영향을 미치지 않으면서 리소스 수요 변화에 적응할 수 있는 척도입니다.,"Scalability is the measure to which a system can adapt to a change in demand for resources, without negatively impacting performance.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
아카란 무엇인가요?,What is Akka?,"더 간단하고 단일한 프로그래밍 모델을 제공하는 오픈 소스 프로젝트 - 동시 및 분산 애플리케이션을 위한 코딩 방법 중 하나인 액터 프로그래밍 모델.
Akka의 주요 목표는 클라우드에 배포되거나 코어가 많은 디바이스에서 실행되는 애플리케이션을 더 쉽게 구축하고 사용 가능한 컴퓨팅 성능의 전체 용량을 효율적으로 활용하는 것입니다. 이 툴킷은 확장 가능한 애플리케이션을 구축하기 위한 액터 모델, 런타임 및 필수 지원 도구를 제공합니다.","An open source project that provides a simpler, single programming model - one way of coding for concurrent and distributed applications - the actor programming model.
Akka’s primary goal is to make it simpler to build applications that are deployed in the cloud or run on devices with many cores and that efficiently leverage the full capacity of the computing power available. It’s a toolkit that provides an actor model, runtime, and required supporting tools for building scalable applications.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
배우란 무엇인가요?,What is an actor?,"간단히 말해서, 배우들은 설정과 메시지 브로커 설치 오버헤드가 없는 메시지 큐와 매우 비슷합니다. 마치 프로그래밍 가능한 메시지 큐를 축소하여 마이크로사이즈로 만드는 것과 같습니다. 수천 개, 심지어 수백만 개를 쉽게 만들 수 있습니다. 그들은 ""하지"" 않습니다
메시지를 보내지 않는 한 무엇이든.
메시지는 생성된 후에는 변경할 수 없거나 한 마디로 변경할 수 없는 단순한 데이터 구조입니다.
배우는 메시지를 한 번에 하나씩 받고 메시지를 받을 때마다 일부 동작을 실행할 수 있습니다. 대기열과 달리 다른 배우에게 메시지를 보낼 수도 있습니다.
배우가 하는 모든 작업은 비동기식으로 실행됩니다. 간단히 말해, 응답을 기다리지 않고 배우에게 메시지를 보낼 수 있습니다. 배우는 스레드와 같지는 않지만, 배우에게 보낸 메시지는 특정 시점에 스레드를 통해 전달됩니다. 배우가 스레드에 연결되는 방식은 구성할 수 있으며, 이는 유선 연결된 관계가 아닙니다.
현재 배우의 가장 중요한 측면은 메시지를 주고받으며 애플리케이션을 구축하는 것입니다. 메시지는 사용 가능한 스레드에서 로컬로 처리되거나 다른 서버에서 원격으로 처리될 수 있습니다. 메시지가 정확히 처리되는 위치와 배우의 거주 위치는 나중에 결정할 수 있는 사항으로, 하드코딩 스레드나 RPC 스타일 네트워킹과 비교하면 매우 다릅니다. 배우는 네트워크 서비스와 유사한 작은 부분으로 애플리케이션을 쉽게 구축할 수 있으며, 발자국과 관리 오버헤드를 미세화하기 위해 축소할 수 있습니다.","Briefly, actors are a lot like message queues without the configuration and message broker installation overhead. They’re like programmable message queues shrunk to microsize—you can easily create thousands, even millions of them. They don’t “do”
anything unless they’re sent a message.
Messages are simple data structures that can’t be changed after they’ve been created, or in a single word, they’re immutable.
Actors can receive messages one at a time and execute some behavior whenever a message is received. Unlike queues, they can also send messages (to other actors).
Everything an actor does is executed asynchronously. Simply put, you can send a message to an actor without waiting for a response. Actors aren’t like threads, but messages sent to them are pushed through on a thread at some point in time. How actors are connected to threads is configurable - this is not a hardwired relationship.
For now the most important aspect of actors is that you build applications by sending and receiving messages. A message could be processed locally on some available thread, or remotely on another server. Exactly where the message is processed and where the actor lives are things you can decide later, which is very different compared to hardcoding threads and RPC style networking. Actors make it easy to build your application out of small parts that resemble networked services, only shrunk to microsize in footprint and administrative overhead.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
IDL 기반 인코딩이란 무엇인가요?,What is an IDL-based encoding?,"인터페이스 설명 언어 또는 인터페이스 정의 언어(IDL) 인코딩. 
스키마 정의가 필요합니다. 스키마의 진화에 유연성을 희생하면서 소비자에게 데이터 형식과 검증에 대한 안심을 제공합니다.","An interface description language or interface definition language (IDL) encoding. 
It requires a schema definitions. They offer peace of mind with respect to data format and validation for consumers while sacrificing flexibility in the schema’s evolution.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
타란툴이란 무엇인가요?,What is Tarantool?,충돌 저항성과 지속성을 위해 쓰기 전 로깅을 사용하는 in-memory noSQL 데이터베이스입니다.,An in-memory noSQL database that uses write-ahead logging for crash resistance and persistence.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
코루틴이란 무엇인가요?,What is a coroutine?,"결국 완료되는 활동을 나타내는 객체입니다. 또한 코루틴을 반환하는 함수라고도 합니다.
파이썬에서 코루틴은 생성기입니다.","An object representing activity that eventually completes. Also refers the the function we call that returns a coroutine.
In Python, coroutines are generators.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
미래란 무엇인가요?,What is a future?,아직 사용할 수 없는 결과를 나타내는 객체.,An object representing a result that may not be available yet.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
What is AQP?,What is AQP?,대략적인 쿼리 처리. 정확한 결과를 처리하는 데 시간이 걸리는 대신 데이터 샘플을 가져오는 것을 의미합니다. 데이터 저장소에 테라바이트 이상이 포함된 경우 자주 사용됩니다.,Approximate query processing. It means pulling a sample of data instead of taking time to process an exact result. It is often used when a data storage involves terabytes or more.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
그래프에서 수십억 개의 항목을 어떻게 시각화하시겠습니까?,How would you visualize billions of items in a graph?,많은 경우 모든 점을 그래프로 그릴 필요는 없으며 시각화 인식 샘플링만 사용하면 됩니다. 1% 이하면 충분합니다.,"In many cases, you don't need to graph every point, just use visualization-aware sampling. Sometime 1% or less will do.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
F1/스패너란 무엇인가요?,What is F1/Spanner?,구글의 광고 비즈니스(F1)를 지원하는 내결함성 분산 RDBMS(스패너),Fault-Tolerant Distributed RDBMS (Spanner) Supporting Google's Ad Business (F1),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
광자란 무엇인가요?,What is Photon?,연속 데이터 스트림의 내결함성과 확장 가능한 결합,Fault-tolerant and Scalable Joining of Continuous Data Streams,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
메사란 무엇인가요?,What is Mesa?,"지리적으로 복제된 거의 실시간, 확장 가능한 데이터 웨어하우스","Geo-Replicated, Near Real-Time, Scalable Data Warehousing",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Google은 멀티홈 데이터 센터를 어떻게 사용하나요?,How does Google use multi-homed datacenters?,"멀티홈 시스템은 항상 여러 데이터 센터에서 실시간으로 실행됩니다. 각 데이터 센터 프로세스는 항상 작동하며, 작업은 데이터 센터 간에 동적으로 공유되어 부하 균형을 맞춥니다. 한 데이터 센터의 속도가 느리면 작업의 일부가 자동으로 더 빠른 데이터 센터로 이동합니다. 데이터 센터를 완전히 사용할 수 없는 경우 모든 작업이 자동으로 다른 데이터 센터로 분산됩니다.","A multi-homed system runs live in multiple datacenters all the time. Each datacenter processes work all the time, and work is dynamically shared between datacenters to balance load. When one datacenter is slow, some fraction of work automatically moves to faster datacenters. When a datacenter is completely unavailable, all its work is automatically distributed to other datacenters.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
ElasticSearch란 무엇인가요?,What is ElasticSearch?,"오픈 소스, 분산, RESTful 검색 엔진","Open Source, Distributed, RESTful Search Engine",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
회로 차단기의 예는 무엇인가요?,What is an example of a circuit breaker?,시스템을 악화시키는 여러 번의 동시 재시도를 피하기 위해 서비스가 중단된 경우 503을 전송하기 시작하세요.,Start sending 503s if your service is choked to avoid numerous simultaneous retries that just make the system worse.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
구글 검색 순위 알고리즘의 이름은 무엇인가요?,What is the name of Google's search ranking algorithm?,벌새. 페이지랭크는 알고리즘이 사용하는 한 가지 요소일 뿐입니다.,Hummingbird. PageRank is just one factor used by the algorithm.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Celery란 무엇인가요?,What is celery?,분산 작업 대기열,Distributed Task Queue,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
LRU는 어떤 종류의 정책에서 가장 인기가 있나요?,LRU is the most popular type of what kind of policy?,퇴거,Eviction,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
퇴거 정책은 무엇을 예측하려고 하나요?,What does an eviction policy try to predict?,퇴거 정책은 가까운 미래에 다시 사용될 가능성이 가장 높은 항목을 예측하여 적중률을 극대화하려고 합니다,"An eviction policy tries to predict which entries are most likely to be used again in the near future, thereby maximizing the hit ratio",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
카페이엔이란 무엇인가요?,What is Caffiene?,"카페인은 Java 8을 기반으로 한 고성능, 거의 최적의 캐싱 라이브러리입니다.","Caffeine is a high performance, near optimal caching library based on Java 8.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
요청 통합이란 무엇인가요?,What is request coalescing?,"캐시에 누락된 콘텐츠(캐시 미스)에 대한 요청이 많이 도착하면, 홍수를 피하기 위해 백엔드로 콘텐츠를 가져오기 위해 하나의 인스턴스 요청만 진행됩니다.","When many requests arrive for some content that’s missing in the cache (cache miss), only one instance request will proceed to the backend to fetch the content on behalf of all to avoid a flood.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
NoSQL 데이터베이스를 사용해야 하는 시기,When might you need to use a NoSQL database,"관계 데이터가 없습니다.
5TB 이상의 데이터를 저장해야 하거나 데이터 집약적인 작업량이 있는 경우.
귀하의 애플리케이션은 대기 시간이 매우 짧습니다.
정말 높은 처리량이 필요합니다.","You don’t have any relational data.
If you need to store > 5 TB of data or you have an incredibly data intensive workload.
Your application has super low-latency requirements.
You need really high throughput.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
AMP란 무엇인가요?,What is AMP?,"AMP는 모바일 기기에서 웹을 빠르게 만들기 위해 설계된 HTML의 제한된 하위 집합입니다.
스크립트를 매번 다운로드할 필요 없이 공유 라이브러리를 제공합니다.
광고가 페이지에 영향을 미치지 않도록 광고 아키텍처의 기준을 설정합니다.
분석을 위한 데이터 수집 메커니즘을 공유하여 페이지에 N개의 다른 패키지가 포함되지 않도록 합니다.","AMP is a restricted subset of HTML designed to make the web fast on mobile devices.
Provides a shared library of scripts so they don’t have to downloaded every time.
Sets standards for the architecture of advertising so advertising doesn't infect pages.
Shared mechanism for collecting data for analytics so you don’t have N different packages on a page gathering stats.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
프로세스를 비동기화하면 어떤 이점이 있나요?,What is a benefit of making processes asynchronous?,아키텍처의 유연성. 사용자가 동기화된 저지연 상호작용에 매료되는 것은 아키텍처의 유연성을 보장하지 않습니다.,Flexibility in the architecture. Getting users on hooked on synchronous low-latency interactions doesn't allow for architecture flexibility.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
BASE란 무엇인가요?,What is BASE?,"기본적으로 사용 가능
소프트 상태
결국 일관된

BASE 기반 시스템은 본질적으로 분할되고 느슨하게 결합된 아키텍처이며 궁극적인 일관성을 사용하기 때문에 지연 시간에 더 관대합니다.","basically available
soft state
eventually consistent

A BASE based system is more tolerant to latency because it is an inherently partitioned and loosely coupled architecture and it uses eventual consistency.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
산이란 무엇인가요?,What is ACID?,"원자성
일관성.
고립
내구성","atomicity
consistency
isolation
durability",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
CAP 정리란 무엇인가요?,What is the CAP theorem?,"CAP 정리, 브루어 정리라고도 불리는 이 정리는 분산 컴퓨터 시스템이 다음 세 가지 보장을 동시에 제공하는 것이 불가능하다고 명시하고 있습니다:

- 일관성(모든 노드가 동일한 데이터를 동시에 봅니다)
- 가용성(모든 요청은 성공 여부에 대한 응답을 받습니다)
- 파티션 허용 오차(네트워크 장애로 인한 임의의 파티션에도 불구하고 시스템은 계속 작동합니다)","The CAP theorem, also named Brewer's theorem, states that it is impossible for a distributed computer system to simultaneously provide all three of the following guarantees:

- Consistency (all nodes see the same data at the same time)
- Availability (every request receives a response about whether it succeeded or failed)
- Partition tolerance (the system continues to operate despite arbitrary partitioning due to network failures)",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
제로 카피란 무엇인가요?,What is zero copy?,제로 복사를 사용하는 애플리케이션은 커null이 애플리케이션을 거치지 않고 디스크 파일에서 socket으로 직접 데이터를 복사할 것을 요청합니다. 제로 복사는 애플리케이션 성능을 크게 향상시키고 커null과 사용자 모드 간의 컨텍스트 전환 횟수를 줄여줍니다.,"Applications that use zero copy request that the kernel copy the data directly from the disk file to the socket, without going through the application. Zero copy greatly improves application performance and reduces the number of context switches between kernel and user mode.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
메타클래스란 무엇인가요?,What is a metaclass?,Any callable (function or class) that implements type()'s function signature.,Any callable (function or class) that implements type()'s function signature.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
특권 분리란 무엇인가요?,What is privilege separation?,애플리케이션을 다른 영역으로 분리하여 한 영역의 취약점이 전체 애플리케이션에 영향을 미치지 않도록 하는 것입니다.,Separating an application into different areas so a vulnerability in one area doesn't affect the entire application.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
보안 분야에서 주체란 무엇인가요?,"In security, what is a principal?",특권이나 권리를 가진 단체.,An entity with privileges or rights.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
유닉스에서 파일의 소유자는 누구인가요?,"In Unix, who is the owner of a file?",inode의 UID와 일치하는 사용자 ID를 가진 사용자.,The user with the user ID that matches the UID of the inode.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
경로에서 파일이나 디렉터리를 조회하려면 어떤 권한이 필요하나요?,What privilege do you need to lookup files or directories in a path?,실행 가능한 권한.,The executable permission.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
파일에 대한 보안은 언제 시행되나요?,When is security enforced on a file?,파일 설명자가 생성되면 보안이 확인됩니다. 그런 다음 파일 설명자를 주의하고 보호하는 것은 사용자의 몫입니다.,Security is checked when the file descriptor is created. Then it's up to the user to be careful and secure the file descriptor.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
