question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
In what case would perfect hashing be practical?,어떤 경우에 완벽한 해싱이 실용적일까요?,When you don't need to support inserts or deletes. The data is static.,삽입이나 삭제를 지원할 필요가 없을 때. 데이터는 정적입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How does perfect hashing handle collisions?,완벽한 해싱은 충돌을 어떻게 처리하나요?,"It creates a second hash table in the buckets where there are multiple items (k), using a second hash function, and k^2 space. The hash table has two hashing levels. k^2 is chosen because the Markov inequality (birthday paradox) ensures we will not have collisions in bucket.",두 번째 해시 함수와 k^2 공간을 사용하여 여러 항목(k)이 있는 버킷에 두 번째 해시 테이블을 생성합니다. 해시 테이블에는 두 가지 해시 레벨이 있습니다. k^2는 마르코프 부등식(생일 역설)이 버킷에서 충돌이 발생하지 않도록 보장하기 때문에 선택됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the optimal load factor for a hash table?,해시 테이블의 최적 부하 계수는 무엇인가요?,O(sqrt(n)),O(sqrt(n)),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the expected load factor for a hash table?,해시 테이블의 예상 부하 계수는 얼마인가요?,"n/m,  where n = items, m = buckets) n/m is also called alpha.","n/m, 여기서 n = 항목, m = 버킷) n/m은 알파라고도 불립니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the technical running time for operations on a hash table?,해시 테이블에서 작업의 기술적 실행 시간은 어떻게 되나요?,"O(1 + alpha), where alpha is the load factor (n/m). Table doubling operations are amortized.","O(1 + alpha), 여기서 alpha는 하중 계수(n/m)입니다. 테이블 더블링 연산은 상각됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the worst-case search time of perfect hashing?,완벽한 해싱의 최악의 검색 시간은 언제인가요?,O(1),O(1),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the worst-case space required for perfect hashing?,완벽한 해싱을 위해 필요한 최악의 공간은 무엇인가요?,O(n),O(n),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the best-case running time of binary search?,이진 검색의 가장 좋은 실행 시간은 언제인가요?,O(1) - we get lucky and find the element right at the midpoint.,O(1) - 운이 좋게도 중간 지점에서 요소를 찾습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the worst-case running time of binary search?,이진 검색의 최악의 실행 시간은 언제인가요?,O(log n),O(로그 n),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the downsides of using an adjacency matrix to represent a graph?,인접 행렬을 사용하여 그래프를 표현하는 것의 단점은 무엇인가요?,"Finding all the outgoing edges from a vertex takes O(n) time even if there aren't very many, and the O(n^2) space cost is high for ""sparse graphs,"" those with much fewer than n^2 edges.","정점에서 나가는 모든 간선을 찾는 데는 O(n) 시간이 걸리고, n^2보다 훨씬 적은 간선을 가진 ""희소 그래프""의 경우 O(n^2) 공간 비용이 높습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
When is using an adjacency list expensive?,인접 목록을 사용하는 것은 언제 비용이 많이 드나요?,"Finding predecessors of a node u is extremely expensive, requiring looking through every list of every node in time O(n + e), where e is the total number of edges, although if this is something we actually need to do often we can store a second copy of the graph with the edges reversed.","노드 u의 이전 노드를 찾는 것은 매우 비용이 많이 들기 때문에 O(n + e) 시간 내에 모든 노드 목록을 살펴봐야 합니다. 여기서 e는 총 엣지 수를 의미하지만, 실제로 자주 해야 하는 작업이라면 엣지가 반전된 두 번째 그래프 사본을 저장할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
When are adjacency lists most useful?,인접 목록은 언제 가장 유용하나요?,"Adjacency lists are most useful when we mostly want to enumerate outgoing edges of each node. This is common in search tasks, where we want to find a path from one node to another or compute the distances between pairs of nodes. If other operations are important, we can optimize them by augmenting the adjacency list representation; for example, using sorted arrays for the adjacency lists reduces the cost of edge existence testing to O(log(d+ (u))), and adding a second copy of the graph with reversed edges lets us find all predecessors of u in O(d− (u)) time, where d− (u) is u's in-degree.","인접 목록은 주로 각 노드의 나가는 간선을 열거하고자 할 때 가장 유용합니다. 이는 한 노드에서 다른 노드로 가는 경로를 찾거나 노드 쌍 간의 거리를 계산하는 검색 작업에서 흔히 볼 수 있습니다. 다른 작업이 중요한 경우 인접 목록 표현을 보강하여 최적화할 수 있습니다. 예를 들어, 인접 목록에 정렬된 배열을 사용하면 간선 존재 테스트 비용을 O(log(d+(u))로 줄이고, 간선이 반대인 그래프의 두 번째 복사본을 추가하면 O(d-(u)) 시간 내에 u의 모든 선행 변수를 찾을 수 있습니다. 여기서 d-(u)는 u의 차수입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the space required for a graph using an adjacency list?,인접 목록을 사용하는 그래프에 필요한 공간은 무엇인가요?,O(n + e),O(n + e),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 4 bits?,4비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,15,15,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 8 bits?,8비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,255,255,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 16 bits?,16비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,"65,535","65,535",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 6 bits?,6비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,63,63,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 15 bits?,15비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,"32,767","32,767",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum signed number you can represent with 4 bits?,4비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,7,7,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum signed number you can represent with 16 bits?,16비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,"32,767","32,767",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum signed number you can represent with 8 bits?,8비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,127,127,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum signed number you can represent with 9 bits?,9비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,255,255,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum unsigned number you can represent with 32 bits?,32비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,4.294 Billion,"42억 9,400만",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What's the maximum signed number you can represent with 32 bits?,32비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,2.147 Billion,"21억 4,700만",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How do you get the logarithm of a number n given a base b?,밑 b가 주어졌을 때 숫자 n의 로그는 어떻게 구할 수 있나요?,Keep dividing n by b until you get to a number <= 1.,숫자 <= 1이 될 때까지 n을 b로 계속 나눕니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you write log(base b)(ac)?,log(base b)(ac)는 어떻게 쓸 수 있나요?,log(base b)a + log(base b)c,log(base b)a + log(base b)c,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you write log(base b)(a/c)?,log(base b)(a/c)를 어떻게 쓸 수 있나요?,log(base b)a - log(base b)c,log(base b)a - log(base b)c,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How else can you write log(base b)(a^c)?,다른 방법으로 log(base b)(a^c)를 쓸 수 있나요?,c * log(base b)a,c * log(base b)a,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How you can express log(base b)a as another base?,log(base b)a를 다른 베이스로 어떻게 표현할 수 있나요?,log(base d)a / log(base d)b,log(base d)a / log(base d)b,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Why is log(base2)(2^n) == n?,Why is log(base2)(2^n) == n?,log(base2)(2^n) = n * log(base 2)2 = n * 1 = n,log(base2)(2^n) = n * log(base 2)2 = n * 1 = n,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the arithmetic series: 1 + 2 + 3 + 4 + ... (n - 1) + n?,산술 급수란 무엇인가요? 1 + 2 + 3 + 4 + ... (n - 1) + n?,(n(n+1)) / 2,(n(n+1)) / 2,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the value of the geometric (exponential) series when x != 1: 1 + x + x^2 + x^3 + ... x^n ?,x!= 1: 1 + x + x^2 + x^3 + ... x^n일 때 기하급수의 값은 얼마입니까?,(x^(n + 1) - 1) / (x - 1),(x^(n + 1) - 1) / (x - 1),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the sum of this series when it's infinite and x < 1? 1 + x + x^2 + x^3 + ... x^n ?,이 급수가 무한이고 x < 1일 때의 합은 얼마인가요? 1 + x + x^2 + x^3 + ... x^n?,1 / (1 - x),1 / (1 - x),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the sum of the harmonic series for the nth harmonic number: 1 + 1/2 + 1/3 + 1/4 .. + 1/n,n번째 조화수에 대한 조화급수의 합은 얼마입니까? 1 + 1/2 + 1/3 + 1/4 .... + 1/n,"No closed form, only good approximations:

≈ 0.57721
the Euler-Mascheroni constant.","닫힌 형식은 없고, 좋은 근사치만 있습니다:

≈ 0.57721
오일러-마스케로니 상수.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the maximum unsigned integer you can represent with n bits?,n비트로 표현할 수 있는 최대 부호 없는 정수는 얼마인가요?,2^n - 1,2^n - 1,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Given a fully balanced binary tree with x nodes, what is the height of the tree in nodes?","x개의 노드가 있는 완전히 균형 잡힌 이진 트리가 주어졌을 때, 노드에서 트리의 높이는 얼마인가요?",log(base2) x + 1,log(base2) x + 1,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Given a fully balanced k-ary tree with x nodes, what is the height of the tree in nodes?","x개의 노드가 있는 완전히 균형 잡힌 k-진 트리가 주어졌을 때, 노드에서 트리의 높이는 얼마인가요?",log(basek) x + 1,log(basek) x + 1,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
A binary tree with height h can contain at most how many nodes?,높이가 h인 이진 트리는 최대 몇 개의 노드를 포함할 수 있나요?,2^(h+1) − 1 nodes,2^(h+1) − 1 nodes,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"For a k-ary tree with height h, the upper bound for the maximum number of leaves is:",높이가 h인 k-ary 트리의 경우 최대 잎 수에 대한 상한은 다음과 같습니다:,k^h,k^h,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the complexity of Dijkstra's shortest-path algorithm?,다이크스트라의 최단 경로 알고리즘의 복잡성은 무엇인가요?,"O(e log v), where e is the number of edges. 
It must scan each edge, and gets and updates values on the heap.","O(e 로그 v), 여기서 e는 간선의 수입니다. 
각 가장자리를 스캔하고 힙의 값을 가져와 업데이트해야 합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a drawback of using an adjacency matrix for an undirected graph?,무방향 그래프에 인접 행렬을 사용하는 것의 단점은 무엇인가요?,Half of the entries in the matrix are duplicates.,행렬의 항목 중 절반이 중복됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the memory needed to store an adjacency list?,인접 목록을 저장하는 데 필요한 메모리는 무엇인가요?,Theta( |V| + |E| ),세타( |V| + |E| ),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the memory needed to store an adjacency matrix?,인접 행렬을 저장하는 데 필요한 메모리는 무엇인가요?,Theta(|V|^2),세타(|V|^2),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you implement a queue with a linked list?,링크된 목록으로 대기열을 어떻게 구현하시겠습니까?,"Use a tail pointer. Push new items at the tail, pop items at the head. Both operations are constant-time.",꼬리 포인터를 사용합니다. 꼬리에서 새 항목을 밀고 머리에서 항목을 터뜨립니다. 두 작업 모두 일정한 시간 동안 진행됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you implement a stack with a linked list?,링크된 목록이 있는 스택을 어떻게 구현하시겠습니까?,Push and pop items at the head. Both operations are constant-time.,머리에 물건을 밀고 터뜨립니다. 두 작업 모두 일정한 시간 동안 진행됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What preference of nodes vs leaves does preorder traversal give on a tree?,사전 주문 트래버스가 트리에 제공하는 노드와 잎의 선호도는 무엇인가요?,"Nodes first, leaves later.","노드가 먼저 있고, 나중에 떠납니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What preference of nodes vs leaves does postorder traversal give on a tree?,포스트오더 트래버스가 트리에 주는 노드와 잎의 선호도는 무엇인가요?,"Leaves first, internal nodes later.","먼저 떠나고, 내부 노드는 나중에 떠납니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What could you use in DFS to turn a recursive algorithm into an interative one?,DFS에서 재귀 알고리즘을 상호작용 알고리즘으로 변환하는 데 무엇을 사용할 수 있나요?,A stack.,스택.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What do you use to keep track of nodes to visit in BFS?,BFS에서 방문할 노드를 추적하려면 무엇을 사용하나요?,A queue.,대기열.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Using a stack to keep track of unvisited nodes gives what kind of traversal?,스택을 사용하여 방문하지 않은 노드를 추적하면 어떤 종류의 탐색이 가능할까요?,DFS,DFS,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Using a queue to keep track of unvisited nodes gives what kind of traversal?,방문하지 않은 노드를 추적하기 위해 대기열을 사용하면 어떤 종류의 이동 경로가 제공되나요?,BFS,BFS,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In a highly connected graph of n vertices, how many cycles can there be?",n개의 정점으로 이루어진 고도로 연결된 그래프에서 사이클은 몇 개일 수 있나요?,"(n - 1)! - enumerating is possible (using backtracking), but there will be a lot.","(n - 1)! - 역추적을 사용하여 열거하는 것은 가능하지만, 많을 것입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What can use to find if a graph is bipartite?,그래프가 이분형인 경우 무엇을 사용하여 찾을 수 있나요?,"BFS. Using only 2 colors. When you encounter a new vertex, if it has no color, give it the opposite color of its parent vertex. If it is already colored the same, the graph is not bipartite.",BFS. 두 가지 색상만 사용합니다. 새 정점을 만나면 색상이 없는 경우 부모 정점의 반대 색상을 지정합니다. 이미 동일한 색상으로 표시되어 있다면 그래프는 이분법적이지 않습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you find a cycle in a graph?,그래프에서 주기를 어떻게 찾을 수 있나요?,"DFS. If you discover an edge that connects to an ancestor (previously discovered vertex), you have a cycle.",DFS. 이전에 발견된 정점(이전에 발견된 정점)에 연결된 간선을 발견하면 주기가 생깁니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an articulation vertex?,관절 정점이란 무엇인가요?,A vertex of a graph whose deletion disconnects the graph.,삭제가 그래프를 분리하는 그래프의 정점입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can you find an articulation vertex?,관절 정점을 어떻게 찾을 수 있나요?,"DFS multiple times. Remove each edge one at a time, doing a DFS after each, so see if you end up with > 1 connected components. If you remove a node and then DFS and find you have fewer than m - 1 edges, you've deleted an articulation vertex. O(n(n+m))

A faster way, with a little more bookkeeping, can be done in O(n+m) time, if you do DFS and keep track of parents and make a note when you reach a back edge, which connects to an ancestor.","DFS를 여러 번 반복합니다. 각 엣지를 하나씩 제거하고, 각 엣지마다 DFS를 수행하여 1개 이상의 연결된 구성 요소가 있는지 확인합니다. 노드를 제거한 다음 DFS를 사용하여 m - 1개 미만의 엣지를 발견하면, 아티큘레이션 버텍스를 삭제한 것입니다. O(n(n+m))

DFS를 수행하고 부모를 추적하며 조상과 연결되는 백 엣지에 도달하면 메모를 작성하면 조금 더 많은 부기를 통해 O(n+m) 시간 내에 더 빠른 방법을 사용할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"How could you identify errors in a DNA fragment assembly given many pairs of sequences, where item A must appear before B in the larger sequence?","더 큰 서열에서 항목 A가 B 앞에 나타나야 하는 많은 서열 쌍이 주어졌을 때, DNA 단편 어셈블리의 오류를 어떻게 식별할 수 있을까요?","Build a DAG representing all the left-right constraints. Any topological sort of the DAG is a consistent ordering. If there are cycles, there must be errors.",모든 좌우 제약 조건을 나타내는 DAG를 구축합니다. 모든 토폴로지 유형의 DAG는 일관된 순서입니다. 주기가 있는 경우 오류가 있어야 합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What path does BFS find in a graph?,BFS는 그래프에서 어떤 경로를 찾나요?,The shortest path tree from start to all nodes (unweighted),시작부터 모든 노드까지의 최단 경로 트리(가중치 없음),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"What's the upper bound on the number of edges in a graph G(V, E)?","그래프 G(V, E)의 간선 수에 대한 상한은 얼마인가요?",|V|^2,|V|^2,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In Python, initialize a list of lists called x with 100 elements.",파이썬에서 100개의 원소로 구성된 x라는 목록을 초기화합니다.,x = [[] for i in range(100)],x = [[] for i in range(100)],CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In Python, declare a named tuple called Edge, with attributes vertex and weight.",Python에서 정점과 가중치 속성을 가진 이름 있는 튜플인 Edge를 선언합니다.,"from collections import namedtuple

Edge = namedtuple('Edge', ['vertex', 'weight'])","from collections import namedtuple

Edge = namedtuple('Edge', ['vertex', 'weight'])",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the optimal substructure property tell us about shortest paths?,최단 경로에 대해 알려주는 최적의 하부 구조 속성은 무엇인가요?,That a subpath of a shortest path is also a shortest path.,가장 짧은 경로의 하위 경로도 가장 짧은 경로입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
C++: How would you initialize a vector of 25 integers to all zeroes?,C++: 25개의 정수 벡터를 모든 0으로 어떻게 초기화하시겠습니까?,std::vector<int> mynums(25);,std::vector<int> mynums(25);,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
C++: How could you make a string called thing2 have the first 5 characters of thing1?,C++: thing2라는 문자열에 처음 5자의 thing1을 어떻게 만들 수 있나요?,"thing2.assign(thing1, 0, 5);","thing2.assign(thing1, 0, 5);",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"C++: We want to call parent constructor in our MyClass constructor, with an arg int called foo. What does this look like in .h and .cc? Parent is ParentClass.",C++: 우리는 MyClass 생성자에서 부모 생성자를 호출하고 싶습니다. argint는 foo라고 합니다. .h와 .cc에서는 이것이 어떻게 보이나요? 부모는 부모 클래스입니다.,".h:
MyClass(const int foo);

.cc:
MyClass::MyClass(const int foo) : ParentClass(foo) {
    // stuff
}",".h:
MyClass(const int foo);

.cc:
MyClass::MyClass(const int foo) : ParentClass(foo) {
    // stuff
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a Dunder method?,던더 방식이란 무엇인가요?,"A magic method in Python, such as __getitem__ and __len__.","파이썬의 마법 방법, 예를 들어 __getitem__ 및 __len__.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the sum of numbers from 1 to 2^n?,1에서 2^n까지의 숫자의 합은 무엇인가요?,"2^(n+1) - 1
The sum of a sequence of powers is roughly equal to the next value in the sequence.","2^(n+1) - 1
일련의 거듭제곱의 합은 대략 그 수열의 다음 값과 같습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many ways can you rearrange a string of n unique characters?,n개의 고유 문자 문자열을 몇 가지 방법으로 재배열할 수 있나요?,"n!
Permutations.","n!
순열.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many ways can you arrange k characters from n unique characters?,n개의 고유 문자 중 k개의 문자를 배열하는 방법은 몇 가지가 있나요?,"n! / (n - k)!
Permutation of n elements of size k.","n! / (n - k)!
크기 k의 n개 원소의 순열.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many subsets (ordering doesn't matter) of size k are there in n unique characters?,n개의 고유 문자에 크기 k의 하위 집합(순서는 상관없습니다)이 몇 개 있나요?,"n! / k!(n - k)!
This is n choose k.","n! / k!(n - k)!
이것은 n 선택 k입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Python: Write a class function to tell if the graph is bipartite. Start with vertex 0. You can access the adjacency list for a vertex v with: self.adjacency_list[v],Python: Write a class function to tell if the graph is bipartite. Start with vertex 0. You can access the adjacency list for a vertex v with: self.adjacency_list[v],"def is_bipartite(self):
        """"""
        Returns true if graph is bipartite
        :rtype: bool
        """"""
        colorings = {}
        to_visit = queue.Queue()
        to_visit.put(0)
        colorings[0] = 0

        while not to_visit.empty():
            v = to_visit.get()

            for u in self.adjacency_list[v]:
                if u not in colorings:
                    colorings[u] = 1 - colorings[v]
                    to_visit.put(u)
                elif colorings[u] == colorings[v]:
                    return False

        return True","def is_bipartite(자체):
        """"""
        그래프가 이분형인 경우 참을 반환합니다
        :rtype: bool
        """"""
        색칠하기 = {}
        to_visit = 큐.큐()
        to_visit.put(0)
        색칠하기[0] = 0

        visit.empty ():
            v = to_visit.get ()

            당신을 위해: self.adjacency_list[v]:
                색칠이 아니라면:
                    색칠하기[u] = 1 - 색칠하기[v]
                    to_visit.put(u)
                엘프 색칠하기 == 색칠하기 [v]:
                    거짓 반환

        참으로 반환",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What should you avoid in your base case in recursion?,재귀 시 기본 케이스에서 피해야 할 것은 무엇인가요?,"Too many base case scenarios. Just have one base case so you can return as quickly as possible. Avoid ""arm's length"" recursion.","Too many base case scenarios. Just have one base case so you can return as quickly as possible. Avoid ""arm's length"" recursion.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the bandwidth of a graph?,그래프의 대역폭은 얼마인가요?,The longest edge in the permutation that gives you the shortest edges.,가장 짧은 간선을 제공하는 순열에서 가장 긴 변입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"When talking dynamic programming, what is feasibility?",동적 프로그래밍에 대해 이야기할 때 실현 가능성이란 무엇인가요?,The rules the algorithm must adhere to in reaching its solution.,알고리즘이 해결책에 도달하기 위해 준수해야 하는 규칙.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"When talking dynamic programming, what is optimality?",동적 프로그래밍에 대해 이야기할 때 최적성이란 무엇인가요?,An algorithm has optimality if the subsolutions of an optimal solution of the problem are themsleves optimal solutions for their subproblems.,알고리즘은 문제의 최적 해의 부분 해가 그들의 부분 문제에 대한 최적 해일 때 최적성을 갖습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is dynamic programming?,동적 프로그래밍이란 무엇인가요?,"Dynamic programming is a general-purpose algorithm design technique that is most often used to solve combinatorial optimization problems, where we are looking for the best possible input to some function chosen from an exponentially large search space.

There are two parts to dynamic programming. The first part is a programming technique: dynamic programming is essentially divide and conquer run in reverse: we solve a big instance of a problem by breaking it up recursively into smaller instances; but instead of carrying out the computation recursively from the top down, we start from the bottom with the smallest instances of the problem, solving each increasingly large instance in turn and storing the result in a table. The second part is a design principle: in building up our table, we are careful always to preserve alternative solutions we may need later, by delaying commitment to particular choices to the extent that we can.

The bottom-up aspect of dynamic programming is most useful when a straightforward recursion would produce many duplicate subproblems. It is most efficient when we can enumerate a class of subproblems that doesn't include too many extraneous cases that we don't need for our original problem.","동적 프로그래밍은 조합 최적화 문제를 해결하는 데 가장 자주 사용되는 범용 알고리즘 설계 기법으로, 기하급수적으로 큰 검색 공간에서 선택한 함수에 최적의 입력을 찾습니다.

동적 프로그래밍에는 두 가지 부분이 있습니다. 첫 번째 부분은 프로그래밍 기법입니다: 동적 프로그래밍은 본질적으로 역방향으로 실행되는 분할 및 정복입니다: 우리는 문제의 큰 인스턴스를 작은 인스턴스로 재귀적으로 분해하여 해결하지만, 계산을 위에서 아래로 재귀적으로 수행하는 대신, 문제의 가장 작은 인스턴스부터 시작하여 점점 더 큰 인스턴스를 차례로 해결하고 결과를 표에 저장합니다. 두 번째 부분은 설계 원칙입니다: 테이블을 구축할 때, 우리는 가능한 한 특정 선택에 대한 약속을 지연시킴으로써 나중에 필요할 수 있는 대체 솔루션을 항상 보존하도록 주의합니다.

동적 프로그래밍의 상향식 측면은 간단한 재귀를 통해 많은 중복 하위 문제를 생성할 때 가장 유용합니다. 원래 문제에 필요하지 않은 불필요한 경우가 너무 많지 않은 하위 문제 클래스를 열거할 수 있을 때 가장 효율적입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the complexity for a naive recursive Fibonacci function?,순진한 재귀 피보나치 함수의 복잡도는 무엇인가요?,"Θ(φ^n), where phi(φ) is the golden ratio (1 + sqrt(5)) / 2. 
approx: 1.618","θ(φ^n), 여기서 phi(φ)는 황금 비율 (1 + sqrt(5)) / 2입니다. 
약: 1.618",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a dynamic programming version of computing Fibonacci for n.,n에 대한 피보나치 계산의 동적 프로그래밍 버전을 작성하세요.,"def fib(n):
   fibValues = [0,1]
   for i in range(2, n+1):
      fibValues.append(fibValues[i-1] + fibValues[i-2])

   return fibValues[n]","def fib(n):
   fibValues = [0,1]
   for i in range(2, n+1):
      fibValues.append(fibValues[i-1] + fibValues[i-2])

   return fibValues[n]",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a dynamic programming implementation of longest common subsequence of 2 strings.,2개의 문자열로 구성된 가장 긴 공통 서브시퀀스의 동적 프로그래밍 구현을 작성합니다.,"def longest_common_subsequence(sequence1, sequence2):
    cols = len(sequence1) + 1   # Add 1 to represent 0 valued column for DP
    rows = len(sequence2) + 1   # Add 1 to represent 0 valued row for DP

    T = [[0 for _ in range(cols)] for _ in range(rows)]

    max_length = 0

    for i in range(1, rows):
        for j in range(1, cols):
            if sequence2[i - 1] == sequence1[j - 1]:
                T[i][j] = 1 + T[i - 1][j - 1]
            else:
                T[i][j] = max(T[i - 1][j], T[i][j - 1])

            max_length = max(max_length, T[i][j])

    return max_length","def longest_common_subsequence(sequence1, sequence2):
    cols = len(sequence1) + 1   # Add 1 to represent 0 valued column for DP
    rows = len(sequence2) + 1   # Add 1 to represent 0 valued row for DP

    T = [[0 for _ in range(cols)] for _ in range(rows)]

    max_length = 0

    for i in range(1, rows):
        for j in range(1, cols):
            if sequence2[i - 1] == sequence1[j - 1]:
                T[i][j] = 1 + T[i - 1][j - 1]
            else:
                T[i][j] = max(T[i - 1][j], T[i][j - 1])

            max_length = max(max_length, T[i][j])

    return max_length",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
